127.0.0.1 - - [15/Apr/2022:10:37:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /Assignment/HomeServlet HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /Assignment/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /Assignment/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /Assignment/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /Assignment/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:06 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:17 +0700] "GET /Assignment/category/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:17 +0700] "GET /Assignment/login HTTP/1.1" 500 5638
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:23 +0700] "POST /Assignment/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:23 +0700] "GET /Assignment/users/index HTTP/1.1" 200 16002
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:28 +0700] "GET /Assignment/product/index HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:36 +0700] "GET /Assignment/product/edit?id=19 HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:38 +0700] "POST /Assignment/product/update?id=19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:38 +0700] "GET /Assignment/product/index HTTP/1.1" 200 8918
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:37:42 +0700] "GET /Assignment/product/index HTTP/1.1" 200 8918
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:44:08 +0700] "GET /Assignment/product/index HTTP/1.1" 200 8918
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:45:41 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:45:54 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:45:55 +0700] "GET /Assignment/product/create HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:45:56 +0700] "GET /Assignment/product/index HTTP/1.1" 200 8918
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:45:59 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:05 +0700] "GET /Assignment/category/edit?id=19 HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:09 +0700] "POST /Assignment/category/update?id=19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:09 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:13 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:13 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
0:0:0:0:0:0:0:1 - - [15/Apr/2022:10:46:13 +0700] "GET /Assignment/category/index HTTP/1.1" 200 12291
